	sale date	address	neighborhood	gush	helka	asset-type	rooms	floor	area	price
797	19/04/2017	הילדים 15	מוצקין הותיקה	11577	135	דירת גג (פנטהאוז)	6	חמישית	141	1,870,000
798	06/04/2017	ציפורן 2	מוצקין הותיקה	10428	68	דירה	5		117	1,390,000
799	06/04/2017	הילדים 15	מוצקין הותיקה	10430	245	משרד		קרקע	22	200,000
800	06/04/2017	"הפלמ""ח 3"	מוצקין הותיקה	11577	68	דירה בבית קומות	3	ראשונה	70	904,000
801	04/04/2017	אושה 29	מוצקין הותיקה	11577	14	דירה בבית קומות	4	ראשונה	78	1,050,000
802	04/04/2017	יעל 12	מוצקין הותיקה	11564	93	דירה בבית קומות	3	שניה	74	1,075,000
803	03/04/2017	הילדים 13	מוצקין הותיקה	10429	116	דירה בבית קומות	4.5	ראשונה	88	890,000
804	02/04/2017	ברק 24	מוצקין הותיקה	11562	76	דירה בבית קומות	4	שניה	93	1,200,000
805	31/03/2017	ההגנה 24	מוצקין הותיקה	10429	138	דירה בבית קומות	3	שניה	89	909,000
806	31/03/2017	ויצמן 28	מוצקין הותיקה	11577	26	דירה	3	שניה	73	1,085,000
807	30/03/2017	גושן משה 14	מוצקין הותיקה	10428	33	דירה בבית קומות	2	ראשונה	39	480,000
808	29/03/2017	"רנ""ס 37"	מוצקין הותיקה	11577	104	דירה בבית קומות	4	ראשונה	97	1,100,000
809	29/03/2017	קרן קימת 23	מוצקין הותיקה	11577	104	חנות		קרקע	21	220,000
810	29/03/2017	סנש חנה 11	מוצקין הותיקה	11577	104	חנות		קרקע	67	880,000
811	28/03/2017	עכו 115	מוצקין הותיקה	11577	132	דירה בבית קומות	5	שניה	106	1,470,000
812	27/03/2017	גושן משה 38	מוצקין הותיקה	11562	66	משרד		שניה	58	900,000
813	24/03/2017	הילדים 13	מוצקין הותיקה	11564	87	דירה בבית קומות	4	קרקע	74	1,200,000
814	23/03/2017	אוסישקין 29	מוצקין הותיקה	10428	159	דירה בבית קומות	1	ראשונה	26	285,000
